t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s
15183.432,-86000,2,-166224,372511,ptp4l[15183.432]: master offset     -86000 s2 freq -166224 path delay    372511,200.19500000000153
15184.433,345895,2,-122689,388919,ptp4l[15184.433]: master offset     345895 s2 freq -122689 path delay    388919,201.19600000000173
15185.433,-99907,2,-167369,388919,ptp4l[15185.433]: master offset     -99907 s2 freq -167369 path delay    388919,202.19600000000173
15186.435,351579,2,-121869,388919,ptp4l[15186.435]: master offset     351579 s2 freq -121869 path delay    388919,203.19800000000032
15187.436,-75178,2,-164619,388919,ptp4l[15187.436]: master offset     -75178 s2 freq -164619 path delay    388919,204.19900000000052
15188.437,-67943,2,-163964,372511,ptp4l[15188.437]: master offset     -67943 s2 freq -163964 path delay    372511,205.20000000000073
15189.437,-75542,2,-164799,372511,ptp4l[15189.437]: master offset     -75542 s2 freq -164799 path delay    372511,206.20000000000073
15190.438,-53255,2,-162624,382493,ptp4l[15190.438]: master offset     -53255 s2 freq -162624 path delay    382493,207.20100000000093
15191.438,-63535,2,-163715,365976,ptp4l[15191.438]: master offset     -63535 s2 freq -163715 path delay    365976,208.20100000000093
15192.44,86987,2,-148576,347093,ptp4l[15192.440]: master offset      86987 s2 freq -148576 path delay    347093,209.20300000000134
15193.441,-795,2,-157355,322582,ptp4l[15193.441]: master offset       -795 s2 freq -157355 path delay    322582,210.20400000000154
15194.441,-36081,2,-160920,322582,ptp4l[15194.441]: master offset     -36081 s2 freq -160920 path delay    322582,211.20400000000154
15195.442,-9402,2,-158261,363882,ptp4l[15195.442]: master offset      -9402 s2 freq -158261 path delay    363882,212.20499999999993
15196.443,-44916,2,-161858,389834,ptp4l[15196.443]: master offset     -44916 s2 freq -161858 path delay    389834,213.20600000000013
15197.445,15974,2,-155753,389834,ptp4l[15197.445]: master offset      15974 s2 freq -155753 path delay    389834,214.20800000000054
15198.445,-124986,2,-169974,394154,ptp4l[15198.445]: master offset    -124986 s2 freq -169974 path delay    394154,215.20800000000054
15199.445,-138253,2,-171439,394154,ptp4l[15199.445]: master offset    -138253 s2 freq -171439 path delay    394154,216.20800000000054
15200.447,-124345,2,-170172,394154,ptp4l[15200.447]: master offset    -124345 s2 freq -170172 path delay    394154,217.21000000000095
15201.448,-66274,2,-164431,394154,ptp4l[15201.448]: master offset     -66274 s2 freq -164431 path delay    394154,218.21100000000115
15202.448,-94439,2,-167342,396592,ptp4l[15202.448]: master offset     -94439 s2 freq -167342 path delay    396592,219.21100000000115
15203.45,-80022,2,-165981,416728,ptp4l[15203.450]: master offset     -80022 s2 freq -165981 path delay    416728,220.21300000000156
15204.453,249003,2,-132829,416728,ptp4l[15204.453]: master offset     249003 s2 freq -132829 path delay    416728,221.21600000000035
15205.451,-185248,2,-176439,443877,ptp4l[15205.451]: master offset    -185248 s2 freq -176439 path delay    443877,222.21399999999994
15206.452,162893,2,-141463,443877,ptp4l[15206.452]: master offset     162893 s2 freq -141463 path delay    443877,223.21500000000015
15207.453,-160045,2,-173916,463896,ptp4l[15207.453]: master offset    -160045 s2 freq -173916 path delay    463896,224.21600000000035
