t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s
15178.125,165422,211525,-337127,5530,524299,0,ptp4l[15178.125]: rms 165422 max 211525 freq -337127 +/- 5530 delay 524299 +/-   0,188.13500000000022
15180.136,100652,105761,-352067,10099,589724,0,ptp4l[15180.136]: rms 100652 max 105761 freq -352067 +/- 10099 delay 589724 +/-   0,190.14600000000064
15182.13,192064,259951,-335405,9020,524299,0,ptp4l[15182.130]: rms 192064 max 259951 freq -335405 +/- 9020 delay 524299 +/-   0,192.13999999999942
15184.128,200222,221589,-349902,19982,535617,1837,ptp4l[15184.128]: rms 200222 max 221589 freq -349902 +/- 19982 delay 535617 +/- 1837,194.13800000000083
15186.134,913248,1271849,-276573,52999,537454,0,ptp4l[15186.134]: rms 913248 max 1271849 freq -276573 +/- 52999 delay 537454 +/-   0,196.14400000000023
15188.132,136491,178910,-363543,5286,537454,0,ptp4l[15188.132]: rms 136491 max 178910 freq -363543 +/- 5286 delay 537454 +/-   0,198.14199999999983
15190.134,248869,344529,-329808,13595,522737,20392,ptp4l[15190.134]: rms 248869 max 344529 freq -329808 +/- 13595 delay 522737 +/- 20392,200.14400000000023
15192.139,181985,248711,-366529,9251,578178,8610,ptp4l[15192.139]: rms 181985 max 248711 freq -366529 +/- 9251 delay 578178 +/- 8610,202.14899999999943
15194.14,848623,1067369,-268765,25660,583668,0,ptp4l[15194.140]: rms 848623 max 1067369 freq -268765 +/- 25660 delay 583668 +/-   0,204.14999999999964
15196.144,404349,546962,-329822,35773,625102,0,ptp4l[15196.144]: rms 404349 max 546962 freq -329822 +/- 35773 delay 625102 +/-   0,206.15400000000045
15198.146,253881,359024,-330596,17949,537274,36346,ptp4l[15198.146]: rms 253881 max 359024 freq -330596 +/- 17949 delay 537274 +/- 36346,208.15600000000086
15200.149,604403,821658,-318541,52978,645899,71236,ptp4l[15200.149]: rms 604403 max 821658 freq -318541 +/- 52978 delay 645899 +/- 71236,210.15899999999965
15202.152,565846,775118,-318477,48799,717135,0,ptp4l[15202.152]: rms 565846 max 775118 freq -318477 +/- 48799 delay 717135 +/-   0,212.16200000000026
15204.153,114222,161483,-355419,8278,517379,44919,ptp4l[15204.153]: rms 114222 max 161483 freq -355419 +/- 8278 delay 517379 +/- 44919,214.16300000000047
15206.157,210370,283340,-357227,18845,574841,40402,ptp4l[15206.157]: rms 210370 max 283340 freq -357227 +/- 18845 delay 574841 +/- 40402,216.16699999999946
15208.159,137912,170174,-334247,3697,508092,8491,ptp4l[15208.159]: rms 137912 max 170174 freq -334247 +/- 3697 delay 508092 +/- 8491,218.16899999999987
15210.161,208265,229010,-349799,20804,493090,10100,ptp4l[15210.161]: rms 208265 max 229010 freq -349799 +/- 20804 delay 493090 +/- 10100,220.17100000000028
15212.162,148856,208431,-338497,12003,462557,0,ptp4l[15212.162]: rms 148856 max 208431 freq -338497 +/- 12003 delay 462557 +/-   0,222.17200000000048
15214.161,196788,226475,-327619,3156,462557,0,ptp4l[15214.161]: rms 196788 max 226475 freq -327619 +/- 3156 delay 462557 +/-   0,224.17100000000028
15216.164,127320,180007,-337554,8785,476326,9738,ptp4l[15216.164]: rms 127320 max 180007 freq -337554 +/- 8785 delay 476326 +/- 9738,226.1740000000009
15218.163,364239,419588,-340456,36069,455443,0,ptp4l[15218.163]: rms 364239 max 419588 freq -340456 +/- 36069 delay 455443 +/-   0,228.17300000000068
